state,age,gender,married,education,urban_rural,race,citizen,personal_income
AZ,37,female,married,college_degree,urban,white,1,45199.99999999999
AZ,41,female,married,college_degree,urban,NA,1,48000
AZ,51,female,married,no_degree,urban,white,1,23000
AZ,50,male,married,no_degree,urban,white,1,65000
AZ,33,male,unmarried,college_degree,urban,black,1,18000
AZ,40,female,unmarried,no_degree,urban,black,1,40000
AZ,46,female,married,no_degree,urban,white,1,254000
AZ,80,male,married,college_degree,urban,white,1,46000
AZ,53,male,unmarried,no_degree,urban,indigenous,1,50000
AZ,41,male,married,college_degree,urban,white,1,34000
AZ,48,female,unmarried,college_degree,rural,indigenous,1,40400
AZ,49,male,married,no_degree,rural,white,1,105000
AZ,51,male,unmarried,no_degree,urban,NA,1,20000
AZ,62,male,married,college_degree,rural,white,1,13600.000000000002
AZ,68,male,unmarried,no_degree,urban,white,0,10000
AZ,41,male,married,no_degree,urban,white,1,44000
AZ,43,male,married,no_degree,urban,white,0,36000
AZ,61,male,married,no_degree,rural,white,1,67900
AZ,64,female,unmarried,no_degree,urban,white,1,50000
AZ,33,male,unmarried,no_degree,urban,white,1,49000
AZ,38,female,married,college_degree,urban,asian,0,92000
AZ,63,male,married,no_degree,rural,white,1,25000
AZ,80,male,married,college_degree,urban,white,1,85500
AZ,53,female,unmarried,no_degree,urban,indigenous,0,21000
AZ,47,female,unmarried,college_degree,urban,black,1,47500
AZ,58,female,unmarried,college_degree,urban,white,1,105000
AZ,52,female,married,no_degree,urban,NA,1,35000
AZ,37,female,married,no_degree,rural,white,1,23600
AZ,41,female,married,college_degree,urban,white,1,65000
AZ,60,female,unmarried,no_degree,urban,white,1,25000
AZ,64,male,unmarried,no_degree,rural,black,1,100000
AZ,47,female,married,no_degree,urban,white,1,70000
AR,48,female,married,college_degree,urban,black,1,135000
AR,60,female,married,no_degree,rural,indigenous,1,47000
AR,39,female,unmarried,no_degree,rural,white,1,10000
AR,43,male,unmarried,no_degree,rural,white,1,49000
AR,37,male,unmarried,no_degree,urban,NA,1,36000
AR,50,male,married,no_degree,rural,white,1,35000
AR,36,male,unmarried,no_degree,urban,black,1,47000
AR,25,female,unmarried,no_degree,rural,white,1,46000
AR,59,male,married,no_degree,rural,white,1,310000
AR,71,male,unmarried,no_degree,urban,white,1,90300
AR,45,female,married,college_degree,urban,asian,1,48000
AR,56,female,unmarried,college_degree,urban,white,1,95000
AR,66,female,unmarried,college_degree,urban,white,1,42000
AR,57,male,married,no_degree,rural,white,1,21100
AR,59,female,married,college_degree,rural,asian,1,49000
AR,25,female,unmarried,college_degree,urban,white,1,35000
AR,29,male,unmarried,no_degree,rural,black,1,33000
AR,54,female,married,college_degree,rural,white,1,90000
AR,48,female,married,college_degree,urban,white,1,1500
AR,36,male,unmarried,no_degree,rural,white,1,46000
AR,35,male,unmarried,no_degree,rural,white,1,23000
AR,58,male,married,college_degree,urban,white,1,100000
AR,31,male,married,no_degree,rural,white,1,70000
AR,30,male,married,no_degree,urban,white,1,42000
AR,35,female,married,college_degree,urban,white,1,60000
AR,44,male,unmarried,college_degree,rural,white,1,81000
AR,58,male,married,no_degree,rural,white,1,30000
AR,36,female,unmarried,no_degree,rural,white,1,10000
AR,53,female,unmarried,no_degree,urban,white,1,36000
AR,44,male,married,no_degree,rural,white,1,21000
AR,30,female,married,no_degree,rural,white,1,28000
AR,54,female,married,no_degree,urban,white,1,18000
AR,42,female,married,college_degree,rural,white,1,6000
